log_file,status,model,gpu,tp,pp,dp,max_model_len,dtype,quantization,kv_cache_dtype,gpu_memory_utilization,init_free_memory_gib,init_total_memory_gib,init_cuda_memory_gib,init_non_torch_memory_gib,requested_memory_gib,weight_memory_gib,weights_memory_gib,activation_memory_gib,non_torch_forward_gib,total_non_kv_cache_gib,cuda_graph_estimated_gib,cuda_graph_actual_gib,kv_cache_memory_gib,kv_cache_tokens,kv_cache_blocks,max_concurrency,summary_free_gib,summary_total_gib,cudagraph_piecewise_count,cudagraph_piecewise_largest,cudagraph_full_count
granite-3-1-8b--h100-80gb--tp1pp1dp1--8192.log,ok,ibm-granite/granite-3.1-8b-instruct,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,15.25,15.25,0.85,0.46,16.57,0.74,0.98,58.66,384432,24027,46.93,78.68,79.19,51,512,51
ibm-granite-granite-3-3---h100-80gb--tp1pp1dp1--8192.log,ok,ibm-granite/granite-3.3-8b-instruct,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,15.25,15.25,0.85,0.46,16.57,0.74,0.98,58.66,384432,24027,46.93,78.68,79.19,51,512,51
ibm-granite-granite-visi--h100-80gb--tp1pp1dp1--8192.log,ok,ibm-granite/granite-vision-3.3-2b,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,5.54,5.54,0.79,0.25,6.58,0.62,0.82,68.65,899792,56237,109.84,78.68,79.19,51,512,51
meta-llama---h100-80gb--tp1pp1dp1--8192-dtbf16-kvfp8.log,ok,meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,8192,torch.bfloat16,None,fp8,0.95,78.68,79.19,0.51,0.51,75.23,14.99,14.99,1.89,0.25,17.12,0.84,0.91,58.11,952032,59502,116.21,78.68,79.19,51,512,51
meta-llama-llama---h100-80gb--tp1pp1dp1--8192-dtbf16.log,ok,meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,14.99,14.99,1.89,0.25,17.12,0.84,0.91,58.11,476000,29750,58.11,78.68,79.19,51,512,51
meta-llama-llama-3---h100-80gb--tp1pp1dp1--8192-qfp8.log,ok,meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,8192,torch.bfloat16,fp8,auto,0.95,78.68,79.19,0.51,0.51,75.23,8.49,8.49,1.89,0.25,10.62,0.84,0.87,64.61,529248,33078,64.61,78.68,79.19,51,512,51
meta-llama-llama-3--h100-80gb--tp1pp1dp1--8192-dtf16.log,ok,meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,8192,torch.float16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,14.99,14.99,1.89,0.25,17.12,0.84,0.91,58.11,476016,29751,58.11,78.68,79.19,51,512,51
meta-llama-llama-3--h100-80gb--tp1pp1dp1--8192-dtf32.log,ok,meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,8192,torch.float32,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,29.98,29.98,2.21,0.25,32.43,0.8,0.79,42.8,175296,10956,21.4,78.68,79.19,51,512,51
meta-llama-llama-3-1-8b---h100-80gb--tp1pp1dp1--2048.log,ok,meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,2048,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,14.99,14.99,1.89,0.25,17.12,0.84,0.91,58.11,476016,29751,232.43,78.68,79.19,51,512,51
meta-llama-llama-3-1-8b---h100-80gb--tp1pp1dp1--4096.log,ok,meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,4096,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,14.99,14.99,1.89,0.25,17.12,0.84,0.91,58.11,476016,29751,116.21,78.68,79.19,51,512,51
meta-llama-llama-3-1-8b---h100-80gb--tp1pp1dp1--8192.log,ok,meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,14.99,14.99,1.89,0.25,17.12,0.84,0.91,58.11,476016,29751,58.11,78.68,79.19,51,512,51
meta-llama-llama-3-1-8b---h100-80gb--tp1pp1dp2--8192.FAILED.log,failed,meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,14.99,,,,,,,,,,,,,,,
meta-llama-llama-3-1-8b---h100-80gb--tp1pp2dp1--8192.log,ok,meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,2,1,8192,torch.bfloat16,None,auto,0.95,77.76,79.19,1.43,1.43,75.23,7.51,7.51,1.1,0.07,8.69,0.54,0.65,66.54,1075312,67207,131.26,77.76,79.19,51,512,51
meta-llama-llama-3-1-8b---h100-80gb--tp1pp4dp1--8192.log,ok,meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,4,1,8192,torch.bfloat16,None,auto,0.95,77.71,79.19,1.48,1.48,75.23,4.26,3.28,1.05,0.07,4.4,0.49,0.51,69.8,2257264,141079,275.54,77.71,79.19,51,512,51
meta-llama-llama-3-1-8b---h100-80gb--tp2pp1dp1--8192.log,ok,meta-llama/Llama-3.1-8B-Instruct,H100-80GB,2,1,1,8192,torch.bfloat16,None,auto,0.95,77.66,79.19,1.53,1.51,75.23,7.51,7.51,1.89,2.07,11.47,1.69,0.76,63.76,1044688,65293,127.53,77.66,79.19,51,512,51
meta-llama-llama-3-1-8b---h100-80gb--tp4pp1dp1--8192.log,ok,meta-llama/Llama-3.1-8B-Instruct,H100-80GB,4,1,1,8192,torch.bfloat16,None,auto,0.95,77.64,79.19,1.55,1.53,75.23,3.77,3.77,1.89,2.13,7.79,0.57,0.67,67.44,2209792,138112,269.75,77.64,79.19,51,512,51
meta-llama-llama-3-1-8b--h100-80gb--tp1pp1dp1--16384.log,ok,meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,16384,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,14.99,14.99,1.89,0.25,17.12,0.84,0.91,58.11,476016,29751,29.05,78.68,79.19,51,512,51
meta-llama-llama-3-1-8b--h100-80gb--tp1pp1dp1--32768.log,ok,meta-llama/Llama-3.1-8B-Instruct,H100-80GB,1,1,1,32768,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,14.99,14.99,1.89,0.25,17.12,0.84,0.91,58.11,476016,29751,14.53,78.68,79.19,51,512,51
meta-llama-llama-4-scout--h100-80gb--tp4pp1dp1--8192.FAILED.log,failed,meta-llama/Llama-4-Scout-17B-16E-Instruct,H100-80GB,4,1,1,8192,torch.bfloat16,None,auto,0.95,77.12,79.19,2.07,2.05,75.23,,,,,,,,,,,,,,,,
microsoft-phi-2--h100-80gb--tp1pp1dp1--2048.log,ok,microsoft/phi-2,H100-80GB,1,1,1,2048,torch.float16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,5.19,5.19,0.79,0.24,6.23,0.55,0.76,69.0,226112,14132,110.41,78.68,79.19,51,512,51
microsoft-phi-2--h100-80gb--tp1pp1dp1--8192.FAILED.log,failed,,H100-80GB,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,
microsoft-phi-4--h100-80gb--tp1pp1dp1--8192.log,ok,microsoft/phi-4,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,27.39,27.39,1.52,0.25,29.15,0.81,1.07,46.08,241568,15098,29.49,78.68,79.19,51,512,51
mistralai-mistral-small---h100-80gb--tp1pp1dp1--8192.log,ok,mistralai/Mistral-Small-3.1-24B-Instruct-2503,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,78.68,79.19,0.51,0.51,75.23,44.76,44.76,2.03,0.25,47.04,0.84,1.06,28.19,184752,11547,22.55,78.68,79.19,51,512,51
mistralai-mixtral-8x7b-i--h100-80gb--tp2pp1dp1--8192.log,ok,mistralai/Mixtral-8x7B-Instruct-v0.1,H100-80GB,2,1,1,8192,torch.bfloat16,None,auto,0.95,77.18,79.19,2.01,1.99,75.23,43.51,43.51,1.21,2.07,46.79,0.82,0.93,28.44,465936,29121,56.88,77.18,79.19,51,512,51
moonshotai-kimi-dev-72b--h100-80gb--tp2pp1dp1--8192.log,ok,moonshotai/Kimi-Dev-72B,H100-80GB,2,1,1,8192,torch.bfloat16,None,auto,0.95,77.66,79.19,1.53,1.51,75.23,67.82,67.82,2.29,2.09,72.21,1.63,1.61,3.02,19776,1236,2.41,77.66,79.19,51,512,51
moonshotai-kimi-dev-72b--h100-80gb--tp4pp1dp1--8192.FAILED.log,failed,moonshotai/Kimi-Dev-72B,H100-80GB,4,1,1,8192,torch.bfloat16,None,auto,0.95,77.64,79.19,1.55,1.53,75.23,,,,,,,,,,,,,,,,
moonshotai-kimi-dev-72b--h100-80gb--tp4pp1dp1--8192.log,ok,moonshotai/Kimi-Dev-72B,H100-80GB,4,1,1,8192,torch.bfloat16,None,auto,0.95,77.64,79.19,1.55,1.53,75.23,34.01,34.01,2.29,2.21,38.51,1.51,1.54,36.72,481296,30081,58.75,77.64,79.19,51,512,51
